show,showLen,showStops,showSegues,showEncore,showBereakout,showSets,showSetsAcustic,showSetsElectric,set1Len,set1Stops,set1Segues,set1Breakouts,set2Len,set3Stops,set2Segues,set2Breakouts,set3Len,set3Stops,set3Segues,set3Breakouts,showType,linup,guests
1995,21,13,8,1,317,2,0,0,9,9,0,41,12,4,8,276,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1994,20,10,10,1,119,2,0,0,9,7,2,50,11,3,8,69,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1997,19,11,8,1,126,2,0,0,7,6,1,60,12,5,7,66,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1996,19,7,12,1,105,2,0,0,8,5,3,61,11,2,9,44,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1999,20,13,7,1,146,2,0,0,8,8,0,81,12,5,7,65,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Bruce Hornsby (accordion) Bruce Hornsby (keyboard),
1998,19,10,9,1,125,2,0,0,8,6,2,75,11,4,7,50,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Neville Brothers (drummer  guitars  keys),
1629,19,9,10,1,197,2,0,0,8,6,2,76,11,3,8,121,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1628,19,11,8,1,94,2,0,0,9,8,1,49,10,3,7,45,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
558,12,5,7,0,37,1,0,0,12,5,7,37,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
1217,20,13,7,1,87,2,0,0,11,9,2,59,9,4,5,28,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
555,9,9,0,0,51,1,0,0,9,9,0,51,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
554,8,3,5,0,16,1,0,0,8,3,5,16,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey, Gregg Allman  Duane Allman,
557,15,10,5,0,107,1,0,0,15,10,5,107,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
551,17,11,6,0,44,1,0,0,17,11,6,44,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
550,11,10,1,0,37,1,0,0,11,10,1,37,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
552,12,6,6,0,36,2,0,0,5,2,3,18,7,4,3,18,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
1439,25,12,13,1,108,2,0,0,11,8,3,48,14,4,10,60,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1199,18,12,6,1,85,2,0,0,10,9,1,53,8,3,5,32,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1198,16,7,9,1,44,2,0,0,7,5,2,11,9,2,7,33,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1191,22,14,8,2,90,2,0,0,12,10,2,56,10,4,6,34,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1190,20,11,9,1,65,2,0,0,9,7,2,36,11,4,7,29,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
